key,value
-,40960
angemon_heavens_knuckle.wav,41204
angewomon_holy_arrow.wav,41214
ankylomon_tail_hammer.wav,41192
aquilamon_blast_laser.wav,41103
armadimon_scratch_beat.wav,41188
digmon_gold_rush.wav,41181
fradramon_knuckle_fire.wav,40989
galgomon_gattling_arm.wav,41165
hawkmon_feather_slash.wav,41094
holsmon_tempest_wing.wav,41110
holyangemon_heavens_gate.wav,41205
holydramon_holy_flame.wav,41146
imperialdramon_fm_giga_death.wav,40996
imperialdramon_mega_death.wav,40993
imperialdramon_paladin_mode_omega_blade.wav,41041
lighdramon_lightning_blade.wav,40999
magnamon_plasma_shoot.wav,41001
nefertimon_rosetta_stone.wav,41150
paildramon_desparado_blaster.wav,41005
patamon_air_shot.wav,41203
pegasmon_shooting_star.wav,41121
rapidmon_golden_triangle.wav,41168
seraphimon_seven_heavens.wav,41124
shakkoumon_aramitama.wav,41045
shurimon_momiji_oroshi.wav,41088
silphymon_top_gun.wav,41038
stingmon_spiking_finish.wav,41008
submarimon_submarine_attack.wav,41174
tailmon_neko_punch.wav,41213
terriermon_petit_twister.wav,41156
vmon_boom_boom_punch.wav,41013
wormmon_neba_neba_netto.wav,41016
xvmon_xlaser.wav,41018
