original,new
chunk_0000.a18.wav,start.wav
chunk_000A.a18.wav,boss1.wav
chunk_000B.a18.wav,unknown1.wav
chunk_000C.a18.wav,menu.wav
chunk_000D.a18.wav,break_up.wav
chunk_000E.a18.wav,beat_hit_short.wav
chunk_000F.a18.wav,chibimon_shinka.wav
chunk_00A0.a18.wav,angemon2.wav
chunk_00A1.a18.wav,angemon_dialogue1.wav
chunk_00A2.a18.wav,angemon_dialogue2.wav
chunk_00A3.a18.wav,angemon_warp_shinka.wav
chunk_00A4.a18.wav,patamon_dialogue1.wav
chunk_00A5.a18.wav,tailmon2.wav
chunk_00A6.a18.wav,tailmon_dialogue1.wav
chunk_00A7.a18.wav,tailmon_dialogue2.wav
chunk_00A8.a18.wav,tailmon_dialogue3.wav
chunk_00A9.a18.wav,tailmon_dialogue4.wav
chunk_00AA.a18.wav,tailmon_dialogue5.wav
chunk_00AB.a18.wav,tailmon_cats_eye.wav
chunk_00AC.a18.wav,tailmon_dialogue6.wav
chunk_00AD.a18.wav,tailmon_dialogue7.wav
chunk_00AE.a18.wav,tailmon_armor_shinka.wav
chunk_00AF.a18.wav,tailmon_dialogue8.wav
chunk_00B0.a18.wav,holydramon_holy_flame.wav
chunk_00B1.a18.wav,nefertimon.wav
chunk_00B2.a18.wav,nefertimon_nile_jewelry.wav
chunk_00B3.a18.wav,nefertimon_curse_of_queen.wav
chunk_00B4.a18.wav,nefertimon_rosetta_stone.wav
chunk_00B5.a18.wav,angewomon_dialogue1.wav
chunk_00B6.a18.wav,angewomon_dialogue2.wav
chunk_00B7.a18.wav,angewomon_shinka.wav
chunk_00B8.a18.wav,holydramon.wav
chunk_00B9.a18.wav,terriermon_dialogue1.wav
chunk_00BA.a18.wav,terriermon_petit_twister.wav
chunk_00BB.a18.wav,terriermon_blazing_fire.wav
chunk_00BC.a18.wav,gummymon_terriermon_shinka.wav
chunk_00BD.a18.wav,gummymon_terriermon_armor_shinka.wav
chunk_00BE.a18.wav,terriermon_intro.wav
chunk_00BF.a18.wav,terriermon_dialogue2.wav
chunk_00C0.a18.wav,terriermon_dialogue3.wav
chunk_00C1.a18.wav,terriermon_dialogue4.wav
chunk_00C2.a18.wav,terriermon_dialogue5.wav
chunk_00C3.a18.wav,galgomon_gattling_arm.wav
chunk_00C4.a18.wav,galgomon_dumdum_upper.wav
chunk_00C5.a18.wav,rapidmon_rapid_fire.wav
chunk_00C6.a18.wav,rapidmon_golden_triangle.wav
chunk_00C7.a18.wav,wallace_dialogue1.wav
chunk_00C8.a18.wav,wallace_dialogue2.wav
chunk_00C9.a18.wav,wallace_digimental_up.wav
chunk_00CA.a18.wav,wallace_dialogue3.wav
chunk_00CB.a18.wav,submarimon_oxygen_homing.wav
chunk_00CC.a18.wav,submarimon_submarine_attack.wav
chunk_00CD.a18.wav,upamon_shinka.wav
chunk_00CE.a18.wav,wallace_digital_gate_open.wav
chunk_00CF.a18.wav,wallace_dialogue4.wav
chunk_00D0.a18.wav,armadimon_dialogue1.wav
chunk_00D1.a18.wav,armadimon_shinka.wav
chunk_00D2.a18.wav,digmon.wav
chunk_00D3.a18.wav,digmon_gold_rush.wav
chunk_00D4.a18.wav,digmon_big_crack.wav
chunk_00D5.a18.wav,submarimon.wav
chunk_00D6.a18.wav,submarimon_aqua_vulcan.wav
chunk_00D7.a18.wav,armadimon_dialogue2.wav
chunk_00D8.a18.wav,armadimon.wav
chunk_00D9.a18.wav,armadimon_scratch_beat.wav
chunk_00DA.a18.wav,armadimon_rolling_stone.wav
chunk_00DB.a18.wav,armadimon_dialogue3.wav
chunk_00DC.a18.wav,armadimon_armor_shinka.wav
chunk_00DD.a18.wav,ankylomon.wav
chunk_00DE.a18.wav,ankylomon_tail_hammer.wav
chunk_00DF.a18.wav,ankylomon_megaton_press.wav
chunk_00E0.a18.wav,ankylomon2.wav
chunk_00E1.a18.wav,armadimon_intro.wav
chunk_00E2.a18.wav,armadimon_dialogue4.wav
chunk_00E3.a18.wav,armadimon_dialogue5.wav
chunk_00E4.a18.wav,armadimon_dialogue6.wav
chunk_00E5.a18.wav,ken_dialogue1.wav
chunk_00E6.a18.wav,wormmon_dialogue1.wav
chunk_00E7.a18.wav,daisuke_dialogue1.wav
chunk_00E8.a18.wav,patamon_intro.wav
chunk_00E9.a18.wav,patamon_air_shot.wav
chunk_00EA.a18.wav,angemon_heavens_knucle.wav
chunk_00EB.a18.wav,holyangemon_heavens_gate.wav
chunk_00EC.a18.wav,patamon_shinka.wav
chunk_00ED.a18.wav,angemon.wav
chunk_00EE.a18.wav,angemon_chou_shinka.wav
chunk_00EF.a18.wav,holyangemon.wav
chunk_00F0.a18.wav,tokomon_shinka.wav
chunk_00F1.a18.wav,patamon.wav
chunk_00F2.a18.wav,tailmon_intro.wav
chunk_00F3.a18.wav,tailmon_neko_punch.wav
chunk_00F4.a18.wav,angewomon_holy_arrow.wav
chunk_00F5.a18.wav,angewomon_heavns_charm.wav
chunk_00F6.a18.wav,tailmon_chou_shinka.wav
chunk_00F7.a18.wav,angewomon.wav
chunk_00F8.a18.wav,plotmon_shinka.wav
chunk_00F9.a18.wav,tailmon.wav
chunk_00FA.a18.wav,daisuke_dialogue2.wav
chunk_00FB.a18.wav,ken_dialogue2.wav
chunk_00FC.a18.wav,vmon_dialogue1.wav
chunk_00FD.a18.wav,vmon_dialogue2.wav
chunk_00FE.a18.wav,wormmon_dialogue2.wav
chunk_00FF.a18.wav,wormmon_intro.wav
chunk_001A.a18.wav,imperialdramon_fm_giga_death.wav
chunk_001B.a18.wav,lighdramon.wav
chunk_001C.a18.wav,lighdramon_blue_thunder.wav
chunk_001D.a18.wav,lighdramon_lightning_blade.wav
chunk_001E.a18.wav,magnamon.wav
chunk_001F.a18.wav,magnamon_plasma_shoot.wav
chunk_002A.a18.wav,vmon_vmon_head.wav
chunk_002B.a18.wav,vmon_boom_boom_punch.wav
chunk_002C.a18.wav,wormmon_shinka.wav
chunk_002D.a18.wav,wormmon_neba_neba_netto.wav
chunk_002E.a18.wav,wormmon_silk_thread.wav
chunk_002F.a18.wav,xvmon.wav
chunk_003A.a18.wav,hikari_dialogue2.wav
chunk_003B.a18.wav,hikari_digimental_up.wav
chunk_003C.a18.wav,hikari_dialogue3.wav
chunk_003D.a18.wav,hikari_dialogue4.wav
chunk_003E.a18.wav,hikari_dialogue5.wav
chunk_003F.a18.wav,hikari_dialogue6.wav
chunk_004A.a18.wav,shakkoumon.wav
chunk_004B.a18.wav,shakkoumon_aramitama.wav
chunk_004C.a18.wav,shakkoumon_jogress_shinka.wav
chunk_004D.a18.wav,imperialdramon_paladin_mode.wav
chunk_004E.a18.wav,takeru_dialogue1.wav
chunk_004F.a18.wav,takeru_digimental_up.wav
chunk_005A.a18.wav,iori_dialogue1.wav
chunk_005B.a18.wav,iori_digimental_up.wav
chunk_005C.a18.wav,iori_dialogue2.wav
chunk_005D.a18.wav,iori_dialogue3.wav
chunk_005E.a18.wav,iori_dialogue4.wav
chunk_005F.a18.wav,iori_intro.wav
chunk_006A.a18.wav,miyako_dialogue1.wav
chunk_006B.a18.wav,miyako_dialogue2.wav
chunk_006C.a18.wav,miyako_intro.wav
chunk_006D.a18.wav,miyako_digital_gate_open.wav
chunk_006E.a18.wav,miyako_dialogue3.wav
chunk_006F.a18.wav,shurimon_noten_saka_otushi.wav
chunk_007A.a18.wav,hawkmon_dialogue1.wav
chunk_007B.a18.wav,hawkmon.wav
chunk_007C.a18.wav,hawkmon_feather_slash.wav
chunk_007D.a18.wav,hawkmon_dialogue2.wav
chunk_007E.a18.wav,hawkmon_armor_shinka.wav
chunk_007F.a18.wav,hawkmon_dialogue3.wav
chunk_008A.a18.wav,holsmon_mach_impulse.wav
chunk_008B.a18.wav,holsmon_udjat_gaze.wav
chunk_008C.a18.wav,holsmon_tempest_wing.wav
chunk_008D.a18.wav,aquilamon.wav
chunk_008E.a18.wav,vmon_dialogue3.wav
chunk_008F.a18.wav,vmon_dialogue4.wav
chunk_009A.a18.wav,seraphimon_seven_heavens.wav
chunk_009B.a18.wav,patamon_dialogue2.wav
chunk_009C.a18.wav,patamon_dialogue3.wav
chunk_009D.a18.wav,patamon_dialogue4.wav
chunk_009E.a18.wav,patamon_dialogue5.wav
chunk_009F.a18.wav,patamon_dialogue6.wav
chunk_0001.a18.wav,target_short1.wav
chunk_0002.a18.wav,target_short2.wav
chunk_0003.a18.wav,target_medium.wav
chunk_0004.a18.wav,brave_heart_short.wav
chunk_0005.a18.wav,brave_heart_medium.wav
chunk_0006.a18.wav,friend_event1.wav
chunk_0007.a18.wav,friend_event2.wav
chunk_0008.a18.wav,friend_event3.wav
chunk_0009.a18.wav,boss2.wav
chunk_0010.a18.wav,daisuke_digimental_up.wav
chunk_0011.a18.wav,fradramon.wav
chunk_0012.a18.wav,fradramon_fire_rocket.wav
chunk_0013.a18.wav,fradramon_knuckle_fire.wav
chunk_0014.a18.wav,imperialdramon_mode_change.wav
chunk_0015.a18.wav,imperialdramon.wav
chunk_0016.a18.wav,imperialdramon_positron_laser.wav
chunk_0017.a18.wav,imperialdramon_mega_death.wav
chunk_0018.a18.wav,imperialdramon_fighter_form.wav
chunk_0019.a18.wav,imperialdramon_fm_double_positron_laser.wav
chunk_0020.a18.wav,paildramon_jogress_shinka.wav
chunk_0021.a18.wav,paildramon_kyukyoku_shinka.wav
chunk_0022.a18.wav,paildramon.wav
chunk_0023.a18.wav,paildramon_desparado_blaster.wav
chunk_0024.a18.wav,paildramon_esgrima.wav
chunk_0025.a18.wav,stingmon.wav
chunk_0026.a18.wav,stingmon_spiking_finish.wav
chunk_0027.a18.wav,vmon_shinka.wav
chunk_0028.a18.wav,vmon_armor_shinka.wav
chunk_0029.a18.wav,vmon.wav
chunk_0030.a18.wav,xvmon_xlaser.wav
chunk_0031.a18.wav,xvmon_strong_crunch.wav
chunk_0032.a18.wav,daisuke_digital_gate_open.wav
chunk_0033.a18.wav,armadimon_dialogue7.wav
chunk_0034.a18.wav,daisuke_intro.wav
chunk_0035.a18.wav,daisuke_dialogue3.wav
chunk_0036.a18.wav,daisuke_dialogue4.wav
chunk_0037.a18.wav,daisuke_dialogue5.wav
chunk_0038.a18.wav,daisuke_dialogue6.wav
chunk_0039.a18.wav,hikari_dialogue1.wav
chunk_0040.a18.wav,hikari_intro.wav
chunk_0041.a18.wav,hikari_digital_gate_open.wav
chunk_0042.a18.wav,shakkoumon_nigimitama.wav
chunk_0043.a18.wav,silphymon.wav
chunk_0044.a18.wav,silphymon_top_gun.wav
chunk_0045.a18.wav,silphymon_dual_sonic.wav
chunk_0046.a18.wav,silphymon_jogress_shinka.wav
chunk_0047.a18.wav,imperialdramon_paladin_mode_omega_blade.wav
chunk_0048.a18.wav,imperialdramon_fm_dialogue1.wav
chunk_0049.a18.wav,pegasmon_nefertimon_sanctury_bind.wav
chunk_0050.a18.wav,takeru_dialogue2.wav
chunk_0051.a18.wav,takeru_dialogue3.wav
chunk_0052.a18.wav,takeru_dialogue4.wav
chunk_0053.a18.wav,takeru_dialogue5.wav
chunk_0054.a18.wav,iori_dialogue5.wav
chunk_0055.a18.wav,takeru_dialogue6.wav
chunk_0056.a18.wav,takeru_intro.wav
chunk_0057.a18.wav,takeru_digital_gate_open.wav
chunk_0058.a18.wav,takeru_dialogue7.wav
chunk_0059.a18.wav,takeru_dialogue8.wav
chunk_0060.a18.wav,iori_digital_gate_open.wav
chunk_0061.a18.wav,iori_dialogue6.wav
chunk_0062.a18.wav,ken_dialogue3.wav
chunk_0063.a18.wav,ken_intro.wav
chunk_0064.a18.wav,ken_dialogue4.wav
chunk_0065.a18.wav,ken_dialogue5.wav
chunk_0066.a18.wav,ken_dialogue6.wav
chunk_0067.a18.wav,miyako_dialogue4.wav
chunk_0068.a18.wav,miyako_dialogue5.wav
chunk_0069.a18.wav,miyako_digimental_up.wav
chunk_0070.a18.wav,wormmon_dialogue3.wav
chunk_0071.a18.wav,wormmon_dialogue4.wav
chunk_0072.a18.wav,wormmon_dialogue5.wav
chunk_0073.a18.wav,wormmon_dialogue6.wav
chunk_0074.a18.wav,poromon_shinka.wav
chunk_0075.a18.wav,shurimon.wav
