key,value
-,0
koromon_to_agumon,511
tsunomon_to_gabumon,512
pyocomon_to_piyomon,513
mochimon_to_tentomon,514
tanemon_to_palmon,515 
pukamon_to_gomamon,516
tokomon_to_patamon,517
agumon_to_greymon,518 
gabumon_to_garurumon,519
piyomon_to_birdramon,520
tentomon_to_kabuterimon,521
palmon_to_togemon,522,
gomamon_to_ikkakumon,523
patamon_to_angemon,524
greymon_to_metalgreymon,525
garurumon_to_weregarurumon,526
birdramon_to_garudamon,527
kabuterimon_to_atlurkabuterimon,528
togemon_to_lilimon,529
ikkakumon_to_zudomon,530
angemon_to_holyangemon,531
tailmon_to_angewomon,532
greymon_to_skullgreymon,533
agumon_warp_to_wargreymon,534
gabumon_warp_to_metalgarurumon,535
wargreymon_metalgarurumon_omegamon,536
