map_id,region_id,area_id,steps,encounter_type,friend_digimon_id,skip1,skip2,skip3,skip4,skip5,skip6,skip7,skip8,skip9,skip10,friend_digimon_id_2,encounter_type_2,friend_digimon_id_3,enemy_stage,battle_type,shake_mash_follow_win_count,friend_digimon_id_4,min_stage_required,unknown1,unknown2,unknown3,skip11
0,0,0,300,4,57345,1,2,3,4,5,6,0,0,0,1,127,0,12,2,2,4,12,1,1,1,219,65535
0,0,1,400,0,10,127,127,127,127,127,127,127,127,127,127,10,0,10,2,0,10,10,1,2,2,219,65535
0,0,2,500,5,57345,2,0,0,0,0,2,0,1,1,2,127,0,15,2,1,8,15,1,52,3,4,65535
0,0,3,500,1,11,127,127,127,127,127,127,127,127,127,127,11,1,11,2,1,11,11,1,38,5,219,65535
0,0,4,1000,3,14,127,127,127,127,127,127,127,127,127,127,14,3,14,2,1,11,14,1,24,219,219,65535
0,1,5,300,0,12,127,127,127,127,127,127,127,127,127,127,12,0,12,2,2,4,12,1,50,6,219,65535
0,1,6,400,6,57345,3,6,5,1,1,6,2,3,2,3,127,0,10,2,0,10,10,1,52,7,9,65535
0,1,7,500,7,57345,4,2,4,6,2,1,3,5,3,4,127,0,17,2,0,10,17,1,51,8,219,65535
0,1,8,500,1,13,127,127,127,127,127,127,127,127,127,127,13,1,13,2,0,12,13,1,3,10,219,65535
0,1,9,1000,3,47,127,127,127,127,127,127,127,127,127,127,47,3,47,3,2,4,47,2,25,219,219,65535
0,2,10,300,4,57345,5,4,6,2,3,4,5,1,4,5,127,0,10,2,0,10,10,1,52,11,13,65535
0,2,11,400,5,57345,6,5,1,5,6,1,1,6,5,6,127,0,16,2,1,8,16,1,39,12,219,65535
0,2,12,500,1,14,127,127,127,127,127,127,127,127,127,127,14,1,14,2,2,4,14,1,40,14,219,65535
0,2,13,1000,3,13,127,127,127,127,127,127,127,127,127,127,13,3,13,2,0,12,13,1,19,219,219,65535
0,3,14,300,6,57345,1,0,3,0,1,6,4,4,6,7,127,0,18,2,2,4,18,1,52,15,18,65535
0,3,15,400,0,15,127,127,127,127,127,127,127,127,127,127,15,0,15,2,1,8,15,1,50,16,219,65535
0,3,16,500,7,57345,3,6,1,1,2,0,3,2,7,0,127,0,12,2,2,4,12,1,51,17,219,65535
0,3,17,500,1,47,127,127,127,127,127,127,127,127,127,127,47,1,47,3,0,10,47,2,41,19,219,65535
0,3,18,1000,3,48,127,127,127,127,127,127,127,127,127,127,48,3,48,3,1,11,48,2,22,219,219,65535
0,4,19,300,0,15,127,127,127,127,127,127,127,127,127,127,15,0,15,2,2,4,15,1,52,20,23,65535
0,4,20,400,4,57345,2,3,3,0,0,1,5,0,0,1,127,0,17,2,0,10,17,1,4,21,219,65535
0,4,21,500,5,57345,4,5,0,2,5,2,2,6,2,5,127,0,16,2,1,8,16,1,50,22,219,65535
0,4,22,500,1,48,127,127,127,127,127,127,127,127,127,127,48,1,48,3,2,4,48,2,5,24,219,65535
0,4,23,1000,3,14,127,127,127,127,127,127,127,127,127,127,14,3,14,2,1,11,14,1,20,219,219,65535
0,5,24,300,0,17,127,127,127,127,127,127,127,127,127,127,17,0,17,2,0,10,17,1,8,25,219,65535
0,5,25,400,0,16,127,127,127,127,127,127,127,127,127,127,16,0,16,2,1,8,16,1,52,26,28,65535
0,5,26,500,0,18,127,127,127,127,127,127,127,127,127,127,18,0,18,2,2,4,18,1,7,27,219,65535
0,5,27,500,1,19,127,127,127,127,127,127,127,127,127,127,19,1,19,2,2,5,19,2,0,29,219,1
0,5,28,1000,3,11,127,127,127,127,127,127,127,127,127,127,11,3,11,2,0,12,11,1,11,219,219,65535
1,6,29,300,6,57345,1,0,3,6,1,0,0,5,4,2,127,1,0,1,2,4,0,1,52,30,33,65535
1,6,30,400,0,20,127,127,127,127,127,127,127,127,127,127,20,0,20,2,0,10,20,1,45,31,219,65535
1,6,31,500,7,57345,2,2,0,2,2,3,2,1,6,4,127,0,18,2,2,4,18,1,51,32,219,65535
1,6,32,500,1,21,127,127,127,127,127,127,127,127,127,127,21,1,21,2,1,11,21,1,43,34,219,65535
1,6,33,1000,3,24,127,127,127,127,127,127,127,127,127,127,24,3,24,2,0,12,24,1,18,219,219,65535
1,7,34,300,8,22,127,127,127,127,127,127,127,127,127,127,22,8,22,6,3,0,22,6,0,35,219,65535
