key,value
sprites 248-259,0
sprites 282-293,1
sprites 316-327,2
sprites 338-349,3
sprites 360-371,4
sprites 382-393,5
sprites 404-415,6
sprites 428-439,7
sprites 444-453,8
sprites 454-463,9
sprites 93-95,10
sprites 96-98,11
sprites 99-101,12
sprites 102-104,13
sprites 105-107,14
sprites 108-110,15
sprites 111-113,16
sprites 260-265,30
sprites 294-299,31
sprites 328-333,32
sprites 350-355,33
sprites 372-377,34
sprites 394-399,35
sprites 416-423,36
sprites 266-273,37
sprites 300-307,38
sprites 274-277,39
sprites 334-337,40
sprites 356-359,41
sprites 378-381,42
sprites 400-403,43
sprites 424-427,44
sprites 440-443,45
sprites 278-281,46
sprites 308-311,47
sprites 312-315,48
sprites 636-639,49
sprites 640-643,50
sprites 644-647,51
sprites 648-651,52
sprites 652-655,53
sprites 656-659,54
sprites 660-663,55
sprites 664-667,56
sprites 668-671,57
sprites 672-675,58
sprites 676-679,59
sprites 680-683,60
sprites 684-687,61
sprites 688-691,62
sprites 692-695,63
sprites 696-699,64
sprites 700-703,65
sprites 704-707,66
sprites 708-711,67
sprites 712-715,68
sprites 716-719,69
sprites 720-723,70
sprites 724-727,71
sprites 728-731,72
sprites 732-735,73
sprites 736-739,74
sprites 740-743,75
sprites 744-747,76
sprites 748-751,77
sprites 752-755,78
sprites 756-759,79
sprites 760-763,80
sprites 764-767,81
sprites 768-771,82
sprites 772-775,83
sprites 776-779,84
sprites 780-783,85
sprites 784-787,86
sprites 788-791,87
sprites 792-795,88
sprites 796-799,89
sprites 800-803,90
sprites 804-807,91
sprites 808-811,92
sprites 812-815,93
sprites 816-819,94
sprites 820-823,95
sprites 824-827,96
sprites 828-831,97
sprites 832-835,98
sprites 836-839,99
sprites 840-843,100
sprites 844-847,101
sprites 848-851,102
sprites 852-855,103
sprites 856-859,104
sprites 860-863,105
sprites 864-867,106
sprites 868-871,107
sprites 872-875,108
sprites 876-879,109
sprites 880-883,110
sprites 884-887,111
sprites 888-891,112
sprites 892-895,113
sprites 896-899,114
sprites 900-903,115
sprites 904-907,116
sprites 908-911,117
sprites 912-915,118
sprites 916-919,119
sprites 920-923,120
sprites 924-927,121
sprites 928-931,122
sprites 932-935,123
sprites 936-939,124
sprites 940-943,125
sprites 944-947,126
sprites 948-951,127
sprites 952-955,128
sprites 956-959,129
sprites 960-963,130
