key,value
AREA-1,0
AREA-2,1
AREA-3,2
AREA-4,3
AREA-5,4
AREA-6,5
AREA-7,6
AREA-8,7
AREA-9,8
AREA-10,9
AREA-11,10
AREA-12,11
AREA-13,12
AREA-14,13
AREA-15,14
AREA-16,15
AREA-17,16
AREA-18,17
AREA-19,18
AREA-20,19
AREA-21,20
AREA-22,21
AREA-23,22
AREA-24,23
AREA-25,24
AREA-26,25
AREA-27,26
AREA-28,27
AREA-29,28
AREA-30,29
AREA-31,30
AREA-32,31
AREA-33,32
AREA-34,33
AREA-35,34
AREA-36,35
AREA-37,36
AREA-38,37
AREA-39,38
AREA-40,39
AREA-41,40
AREA-42,41
AREA-43,42
