key,value
-,0
angemon_to_holyangemon,404
angemon_to_seraphimon,409
angewomon_to_holydramon,410
ankylomon_angemon_shakkoumon,408
aquilamon_tailmon_silphymon,407
armadimon_to_ankylomon,392
armadimon_to_digmon,401
armadimon_to_submarimon,402
chibimon_to_vmon,384
hawkmon_to_aquilamon,391
hawkmon_to_holsmon,399
hawkmon_to_shurimon,400
imperialdramon_dm_to_fm,412
imperialdramon_fm_to_pm,413
paildramon_to_imperialdramon,411
patamon_to_angemon,387
patamon_to_pegasmon,394
plotmon_to_tailmon,388
poromon_to_hawkmon,385
tailmon_to_angewomon,405
tailmon_to_nefertimon,395
terriermon_to_galgomon,393
terriermon_to_rapidmon,403
tokomon_to_patamon,383
upamon_to_armadimon,386
vmon_to_fladramon,396
vmon_to_lighdramon,397
vmon_to_magnamon,398
vmon_to_xvmon,389
wormmon_to_stingmon,390
xvmon_stingmon_paildramon,406
