area_id,region_id,map_id,steps,encounter_type,friend_digimon_id,skip1,skip2,skip3,skip4,skip5,skip6,skip7,skip8,encounter_type_2,friend_digimon_id_2,enemy_stage,battle_type,shake_mash_follow_win_count,friend_digimon_id_3,min_stage_req,unknown1,unknown2,unknown3,digital_gate_open,boss_cut_scene_id
0,0,0,300,4,57345,7,7,7,7,7,7,7,127,4,57345,6,3,0,127,6,1,1,999,1,6
0,1,0,400,0,0,127,127,127,127,127,127,127,127,0,0,1,0,11,0,1,2,2,999,0,6
0,2,0,500,5,57345,3,3,4,5,0,2,5,127,0,39,1,2,4,39,1,3,3,999,0,6
0,3,0,500,0,2,127,127,127,127,127,127,127,127,0,2,2,1,11,2,1,63,4,7,0,6
0,4,0,500,8,1,127,127,127,127,127,127,127,1,8,1,6,3,0,1,6,4,5,999,0,6
0,5,0,500,0,3,127,127,127,127,127,127,127,127,0,3,2,2,4,3,1,5,6,999,0,6
0,6,0,500,1,4,127,127,127,127,127,127,127,127,1,4,2,0,13,4,1,0,8,999,0,6
0,7,0,500,3,25,127,127,127,127,127,127,127,127,3,25,2,1,13,25,1,15,999,999,0,6
1,8,1,300,4,57345,9,9,9,9,9,9,9,127,4,57345,6,3,0,127,6,44,9,999,1,6
1,9,1,400,0,5,127,127,127,127,127,127,127,127,0,5,2,1,11,5,1,63,10,14,0,6
1,10,1,500,6,57345,5,5,0,2,3,4,2,127,0,10,2,0,11,10,1,7,11,999,0,6
1,11,1,500,0,6,127,127,127,127,127,127,127,127,0,6,2,2,4,6,1,8,12,999,0,6
1,12,1,500,5,57345,10,10,10,10,10,10,10,127,5,57345,6,3,0,127,6,9,13,999,0,6
1,13,1,500,1,7,127,127,127,127,127,127,127,127,1,7,2,0,13,7,1,0,15,999,0,6
1,14,1,500,3,23,127,127,127,127,127,127,127,127,3,23,2,2,4,23,1,6,999,999,0,6
2,15,2,300,0,0,127,127,127,127,127,127,127,127,0,0,1,1,11,0,1,43,16,999,1,6
2,16,2,400,8,8,127,127,127,127,127,127,127,8,8,8,6,3,0,8,6,11,17,999,0,6
2,17,2,500,0,2,127,127,127,127,127,127,127,127,0,2,2,2,4,2,1,63,18,21,0,6
2,18,2,500,8,1,127,127,127,127,127,127,127,1,8,1,6,3,0,1,6,46,19,999,0,6
2,19,2,500,7,57345,2,2,3,4,5,0,4,127,0,12,1,1,11,12,1,41,20,999,0,6
2,20,2,500,1,9,127,127,127,127,127,127,127,127,1,9,2,0,13,9,1,0,22,999,0,6
2,21,2,500,3,35,127,127,127,127,127,127,127,127,3,35,2,2,4,35,1,7,999,999,0,6
3,22,3,300,4,57345,7,7,7,7,7,7,7,127,4,57345,6,3,0,127,6,43,23,999,1,6
3,23,3,400,0,10,127,127,127,127,127,127,127,127,0,10,2,1,11,10,1,63,24,26,0,6
3,24,3,500,5,57345,8,8,8,8,8,8,8,127,5,57345,6,3,0,127,6,31,25,999,0,6
3,25,3,500,1,11,127,127,127,127,127,127,127,127,1,11,2,2,4,11,1,0,27,999,0,6
3,26,3,500,3,9,127,127,127,127,127,127,127,127,3,9,2,1,13,9,1,8,999,999,0,6
4,27,4,300,0,12,127,127,127,127,127,127,127,127,0,12,1,0,11,12,1,13,28,999,1,6
4,28,4,400,4,57345,12,12,12,12,12,12,12,127,4,57345,6,3,0,127,6,14,29,999,0,6
4,29,4,500,0,13,127,127,127,127,127,127,127,127,0,13,2,1,11,13,1,63,30,32,0,6
4,30,4,500,0,14,127,127,127,127,127,127,127,127,0,14,2,2,4,14,1,44,31,999,0,6
4,31,4,500,1,15,127,127,127,127,127,127,127,127,1,15,2,0,13,15,1,0,33,999,0,6
4,32,4,500,3,11,127,127,127,127,127,127,127,127,3,11,2,1,13,11,1,10,999,999,0,6
5,33,5,300,5,57345,11,11,11,11,11,11,11,127,5,57345,6,3,0,127,6,43,34,999,1,6
5,34,5,400,8,16,127,127,127,127,127,127,127,16,8,16,6,3,0,16,6,47,35,999,0,6
5,35,5,500,0,3,127,127,127,127,127,127,127,127,0,3,2,1,11,3,1,63,36,38,0,6
5,36,5,500,8,17,127,127,127,127,127,127,127,17,8,17,6,3,0,17,6,48,37,999,0,6
5,37,5,500,1,18,127,127,127,127,127,127,127,127,1,18,2,2,4,18,1,0,39,999,0,6
5,38,5,500,3,15,127,127,127,127,127,127,127,127,3,15,2,1,13,15,1,11,999,999,0,6
6,39,6,300,0,19,127,127,127,127,127,127,127,127,0,19,2,0,11,19,1,63,40,42,1,6
6,40,6,400,6,57345,4,4,5,0,2,3,0,127,0,2,2,2,4,2,1,44,41,999,0,6
6,41,6,500,1,20,127,127,127,127,127,127,127,127,1,20,3,1,13,20,2,0,43,999,0,6
6,42,6,500,3,18,127,127,127,127,127,127,127,127,3,18,2,0,13,18,1,12,999,999,0,6
7,43,7,300,9,57345,13,13,13,13,13,13,13,127,0,3,2,1,11,3,1,17,44,999,1,6
7,44,7,400,0,22,127,127,127,127,127,127,127,127,0,22,2,2,4,22,1,63,45,47,0,6
7,45,7,500,7,57345,3,3,4,5,0,2,5,127,0,0,1,1,11,0,1,43,46,999,0,6
7,46,7,500,1,21,127,127,127,127,127,127,127,127,1,21,2,0,13,21,1,0,48,999,0,6
7,47,7,500,3,20,127,127,127,127,127,127,127,127,3,20,3,2,4,20,2,13,999,999,0,6
8,48,8,300,0,23,127,127,127,127,127,127,127,127,0,23,2,1,11,23,1,63,49,52,1,6
8,49,8,400,9,57345,13,13,13,13,13,13,13,127,0,9,2,0,11,9,1,49,50,999,0,6
8,50,8,500,0,24,127,127,127,127,127,127,127,127,0,24,3,2,4,24,2,50,51,999,0,6
