key,value
A-1 REGION-1,0
A-1 REGION-2,1
A-1 REGION-3,2
A-1 REGION-4,3
A-1 REGION-5,4
A-1 REGION-6,5
A-1 REGION-7,6
A-1 REGION-8,7
A-2 REGION-1,8
A-2 REGION-2,9
A-2 REGION-3,10
A-2 REGION-4,11
A-2 REGION-5,12
A-2 REGION-6,13
A-2 REGION-7,14
A-3 REGION-1,15
A-3 REGION-2,16
A-3 REGION-3,17
A-3 REGION-4,18
A-3 REGION-5,19
A-3 REGION-6,20
A-3 REGION-7,21
A-4 REGION-1,22
A-4 REGION-2,23
A-4 REGION-3,24
A-4 REGION-4,25
A-4 REGION-5,26
A-5 REGION-1,27
A-5 REGION-2,28
A-5 REGION-3,29
A-5 REGION-4,30
A-5 REGION-5,31
A-5 REGION-6,32
A-6 REGION-1,33
A-6 REGION-2,34
A-6 REGION-3,35
A-6 REGION-4,36
A-6 REGION-5,37
A-6 REGION-6,38
A-7 REGION-1,39
A-7 REGION-2,40
A-7 REGION-3,41
A-7 REGION-4,42
A-8 REGION-1,43
A-8 REGION-2,44
A-8 REGION-3,45
A-8 REGION-4,46
A-8 REGION-5,47
A-9 REGION-1,48
A-9 REGION-2,49
A-9 REGION-3,50
A-9 REGION-4,51
A-9 REGION-5,52
A-10 REGION-1,53
A-10 REGION-2,54
A-10 REGION-3,55
A-10 REGION-4,56
A-10 REGION-5,57
A-10 REGION-6,58
A-10 REGION-7,59
A-11 REGION-1,60
A-11 REGION-2,61
A-11 REGION-3,62
A-11 REGION-4,63
A-11 REGION-5,64
A-12 REGION-1,65
A-12 REGION-2,66
A-12 REGION-3,67
A-12 REGION-4,68
A-12 REGION-5,69
A-13 REGION-1,70
A-13 REGION-2,71
A-13 REGION-3,72
A-13 REGION-4,73
A-13 REGION-5,74
A-14 REGION-1,75
A-14 REGION-2,76
A-14 REGION-3,77
A-14 REGION-4,78
A-14 REGION-5,79
A-15 REGION-1,80
A-15 REGION-2,81
A-15 REGION-3,82
A-15 REGION-4,83
A-15 REGION-5,84
A-15 REGION-6,85
A-16 REGION-1,86
A-16 REGION-2,87
A-16 REGION-3,88
A-16 REGION-4,89
A-17 REGION-1,90
A-17 REGION-2,91
A-17 REGION-3,92
A-17 REGION-4,93
A-17 REGION-5,94
A-17 REGION-6,95
A-18 REGION-1,96
A-18 REGION-2,97
A-18 REGION-3,98
A-18 REGION-4,99
A-18 REGION-5,100
A-18 REGION-6,101
A-18 REGION-7,102
A-19 REGION-1,103
A-19 REGION-2,104
A-19 REGION-3,105
A-19 REGION-4,106
A-19 REGION-5,107
A-19 REGION-6,108
A-19 REGION-7,109
A-19 REGION-8,110
A-20 REGION-1,111
A-20 REGION-2,112
A-20 REGION-3,113
A-20 REGION-4,114
A-21 REGION-1,115
A-21 REGION-2,116
A-21 REGION-3,117
A-21 REGION-4,118
A-21 REGION-5,119
A-21 REGION-6,120
A-22 REGION-1,121
A-22 REGION-2,122
A-22 REGION-3,123
A-22 REGION-4,124
A-22 REGION-5,125
A-23 REGION-1,126
A-23 REGION-2,127
A-23 REGION-3,128
A-23 REGION-4,129
A-24 REGION-1,130
A-24 REGION-2,131
A-24 REGION-3,132
A-24 REGION-4,133
A-25 REGION-1,134
A-25 REGION-2,135
A-25 REGION-3,136
A-25 REGION-4,137
A-25 REGION-5,138
A-26 REGION-1,139
A-26 REGION-2,140
A-26 REGION-3,141
A-26 REGION-4,142
A-27 REGION-1,143
A-27 REGION-2,144
A-27 REGION-3,145
A-27 REGION-4,146
A-28 REGION-1,147
A-28 REGION-2,148
A-28 REGION-3,149
A-28 REGION-4,150
A-28 REGION-5,151
A-28 REGION-6,152
A-28 REGION-7,153
A-28 REGION-8,154
A-29 REGION-1,155
A-29 REGION-2,156
A-29 REGION-3,157
A-29 REGION-4,158
A-29 REGION-5,159
A-29 REGION-6,160
A-29 REGION-7,161
A-29 REGION-8,162
A-29 REGION-9,163
A-30 REGION-1,164
A-30 REGION-2,165
A-30 REGION-3,166
A-30 REGION-4,167
A-31 REGION-1,168
A-31 REGION-2,169
A-31 REGION-3,170
A-31 REGION-4,171
A-32 REGION-1,172
A-32 REGION-2,173
A-32 REGION-3,174
A-32 REGION-4,175
A-32 REGION-5,176
A-32 REGION-6,177
A-33 REGION-1,178
A-33 REGION-2,179
A-33 REGION-3,180
A-33 REGION-4,181
A-33 REGION-5,182
A-33 REGION-6,183
A-34 REGION-1,184
A-34 REGION-2,185
A-34 REGION-3,186
A-34 REGION-4,187
A-35 REGION-1,188
A-35 REGION-2,189
A-35 REGION-3,190
A-35 REGION-4,191
A-36 REGION-1,192
A-36 REGION-2,193
A-36 REGION-3,194
A-36 REGION-4,195
A-37 REGION-1,196
A-37 REGION-2,197
A-37 REGION-3,198
A-37 REGION-4,199
A-38 REGION-1,200
A-38 REGION-2,201
A-38 REGION-3,202
A-38 REGION-4,203
A-39 REGION-1,204
A-39 REGION-2,205
A-39 REGION-3,206
A-39 REGION-4,207
A-39 REGION-5,208
A-39 REGION-6,209
A-40 REGION-1,210
A-40 REGION-2,211
A-40 REGION-3,212
A-40 REGION-4,213
A-41 REGION-1,214
A-41 REGION-2,215
A-41 REGION-3,216
A-41 REGION-4,217
A-41 REGION-5,218
A-41 REGION-6,219
A-42 REGION-1,220
A-43 REGION-1,221
A-43 REGION-2,222
A-43 REGION-3,223
