card_id,effect_type_id,string_index,card_menu_string_index,description_string_index,search_unlock_value,sprite_index,alternate_sprite_index
1,7,93,135,177,0,1444,1489
2,1,94,136,178,0,1435,1480
3,1,95,137,179,0,1436,1481
4,1,96,138,180,0,1472,1517
5,11,97,139,181,0,1473,1518
6,1,98,140,182,0,1437,1482
7,12,99,141,183,0,1441,1486
8,4,100,142,184,1,1438,1483
9,7,101,143,185,2,1442,1487
10,13,102,144,186,3,1439,1484
11,10,103,145,187,4,1440,1485
12,10,104,146,188,5,1443,1488
13,10,105,147,189,6,1446,1491
14,5,106,148,190,7,1447,1492
15,8,107,149,191,8,1448,1493
16,1,108,150,192,9,1449,1494
17,10,109,151,193,10,1450,1495
18,0,110,152,194,10000,1432,1477
19,0,111,153,195,10000,1433,1478
20,5,112,154,196,11,1460,1505
21,12,113,155,197,12,1451,1496
22,2,114,156,198,13,1452,1497
23,8,115,157,199,14,1454,1499
24,2,116,158,200,15,1453,1498
25,9,117,159,201,16,1455,1500
26,6,118,160,202,17,1456,1501
27,13,119,161,203,18,1457,1502
28,3,120,162,204,19,1458,1503
29,11,121,163,205,20,1470,1515
30,0,122,164,206,99,1474,1519
31,2,123,165,207,21,1459,1504
32,3,124,166,208,22,1462,1507
33,10,125,167,209,23,1463,1508
34,10,126,168,210,24,1461,1506
35,13,127,169,211,25,1465,1510
36,6,128,170,212,26,1464,1509
37,0,129,171,213,100,1434,1479
38,8,130,172,214,27,1467,1512
39,5,131,173,215,28,1468,1513
40,10,132,174,216,29,1469,1514
