key,value
-,0
guilmon_egg_born,929
terriermon_egg_born,930
renamon_egg_born,931
guilmon_to_growmon,932
terriermon_to_galgomon,933
renamon_to_kyubimon,934
growmon_to_megalogrowmon,935
galgomon_to_rapidmon,936
kyubimon_to_taomon,937
guilmon_to_dukemon,938
terriermon_to_saintgalgomon,939
renamon_to_sakuyamon,940
cyberdramon_to_justimon,941
impmon_to_beelzebumon,942
impmon_to_beelzebumon_bm,943
megalogrowmon_to_megidramon,944
dukemon_to_dukemon_cm,945
dukemon_to_dukemon_grani,946
impmon_to_beelzebumon_behemoth,947
