string_index,name
0,TEXTRESOURCE
1,<F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000><F000>_!$<F000><F000><F000><F000>$()*+<0047>-<0048><004F>0123456789:<F000><F000><0010><F000>?<F000>ABCDEFGHIJKLMNOPQRSTUVWXYZ<004D><0050><004E><000F>^$abcdefghijklmnopqrstuvwxyz<F000><F000><F000><F000><0054>
2,????????
3,##
4,CULUMON
5,????????
6,CHARG<0053>I<0053>NG<F000>_I<0053>NCOMPLETE<0048>
7,PLEASE<F000>REMOVE<F000>USB<F000>_CABLE<0048>
8,SOUND<F000>VOLUME
9,DISPLAY<F000>BRIGHTNESS
10,VIBRATION
11,CLOCK<F000>SETTINGS
12,STEP_SPEED<F000>*5
13,CLEAR_ALL
14,0
15,1
16,2
17,3
18,4
19,ON
20,OFF
21,YES
22,NO
23,REALLY?
24,SAVE_AND<F000>POWER_OFF
25,ITEM
26,AREA-1
27,AREA-2
28,AREA-3
29,AREA-4
30,AREA-5
31,AREA-6
32,AREA-7
33,AREA-8
34,AREA-9
35,AREA-10
36,AREA-11
37,AREA-12
38,AREA-13
39,AREA-14
40,AREA-15
41,AREA-16
42,AREA-17
43,AREA-18
44,AREA-19
45,AREA-20
46,AREA-21
47,AREA-22
48,AREA-23
49,AREA-24
50,AREA-25
51,AREA-26
52,AREA-27
53,AREA-28
54,AREA-29
55,AREA-30
56,AREA-31
57,AREA-32
58,AREA-33
59,AREA-34
60,AREA-35
61,AREA-36
62,AREA-37
63,AREA-38
64,AREA-39
65,AREA-40
66,AREA-41
67,AREA-42
68,AREA-43
69,AREA-44
70,AREA-45
71,AREA-46
72,AREA-47
73,AREA-48
74,AREA-49
75,AREA-50
76,BATTLE
77,BOSS
78,EVENT
79,SECRET
80,??????
81,?<004F>?
82,The_Biggest_Dreamer(TV_size)
83,SLASH!!
84,EVO
85,One_Vision(DUKEMON_MATRIX_EVOLUTION_VERSION)
86,One_Vision(SAKUYAMON_MATRIX_EVOLUTION_VERSION)
87,One#Vision(GARGOMON_MATRIX_EVOLUTION_VERSION)
88,3_Primary_Colors
89,BGM_OFF
90,TRAINABLE
91,DIGIMENTAL_SEARCH_POINT
92,+10
93,FAST#ATTACK#HIT1
94,HIT+1
95,HIT+1
96,HIT+1
97,HP#RECOVERY
98,HIT+1
99,EASY#MINIGAME
100,DAMAGE-1
101,FAST#ATTACK#HIT1
102,PERFECT#DODGE
103,YUKIAGUMON#ATTACK
104,SNIMON#ATTACK
105,MERAMON#ATTACK
106,DAMAGE-2
107,FAST#ATTACK#HIT2
108,HIT+1
109,METALGARURUMON#ATTACK
110,EVOLUTION(PLAY#MODE)
111,MATRIX#EVOLUTION(PLAY#MODE)
112,DAMAGE-2
113,EASY#MINIGAME
114,HIT+2
115,FAST#ATTACK#HIT2
116,HIT+2
117,FAST#ATTACK#HIT3
118,DAMAGE-3
119,PERFECT#DODGE
120,HIT+3
121,HP#RECOVERY
122,MATRIX#EVOLUTION(PLAY#MODE)
123,HIT+2
124,HIT+3
125,LADYDEVIMON#ATTACK
126,YUKIDARUMON#ATTACK
127,PERFECT#DODGE
128,DAMAGE-3
129,-(PLAY#MODE)
130,FAST#ATTACK#HIT2
131,DAMAGE-2
132,SHELLMON#ATTACK
133,#
134,#
135,1:FAST#ATTACK#HIT1
136,2:HIT+1
137,3:HIT+1
138,4:HIT+1
139,5:HP#RECOVERY
140,6:HIT+1
141,7:EASY#MINIGAME
142,8:DAMAGE-1
143,9:FAST#ATTACK#HIT1
144,10:PERFECT#DODGE
145,11:YUKIAGUMON#ATTACK
146,12:SNIMON#ATTACK
147,13:MERAMON#ATTACK
148,14:DAMAGE-2
149,15:FAST#ATTACK#HIT2
150,16:HIT+1
