offset,stage,digimon_id,slot_type_id,win_requirement_for_next_evo,sprite_index,string_index,evo_animation1_id,evo_animation2_id,evo_animation3_id,evo_animation4_id,evo_animation5_id,background_music_during_battle_id,attack_voice_sound_id,attack_shot_sprite_index,attack_shot_sound_id,special_unlock,evo_unlock_conditions_id,wins_after_previous_evo,power
0x000D6ACA,1,0,0,0,7,219,929,0,0,0,0,40961,40983,1198,8,0,0,0,35
0x000D6B28,2,1,0,5,9,220,932,0,0,0,0,40961,40991,1198,8,0,1,5,58
0x000D6B86,3,2,0,15,11,221,932,935,0,0,0,40961,40998,1254,9,1,1,10,120
0x000D6BE4,4,3,0,35,13,222,938,0,0,0,0,40961,41007,1200,9,0,1,10,195
0x000D6C42,4,4,0,25,15,223,932,935,944,0,0,40961,15,1222,8,1,1,10,180
0x000D6CA0,5,5,0,40,16,224,938,946,0,0,0,40961,41009,1199,9,1,4,5,205
0x000D6CFE,5,6,0,45,17,225,938,945,0,0,0,40961,41017,1261,9,1,3,5,225
0x000D6D5C,1,7,2,0,18,226,931,0,0,0,0,40961,41026,1262,10,0,0,0,30
0x000D6DBA,2,8,2,5,20,227,934,0,0,0,0,40961,41037,1263,8,0,1,5,58
0x000D6E18,3,9,2,15,21,228,934,937,0,0,0,40961,41044,1264,13,0,1,10,115
0x000D6E76,4,10,2,35,22,229,940,0,0,0,0,40961,41053,1265,12,0,1,20,175
0x000D6ED4,1,11,1,0,23,230,930,0,0,0,0,40961,41062,1255,10,1,0,0,30
0x000D6F32,2,12,1,5,24,231,933,0,0,0,0,40961,41074,1223,11,0,1,5,58
0x000D6F90,3,13,1,15,26,232,933,936,0,0,0,40961,41080,1206,11,0,1,10,115
0x000D6FEE,4,14,1,35,27,233,939,0,0,0,0,40961,41089,1266,11,1,1,20,175
0x000D704C,1,15,3,0,28,234,0,0,0,0,0,40961,41128,1223,8,0,2,1153,35
0x000D70AA,4,16,3,20,29,235,942,0,0,0,0,40961,41138,1267,10,1,1,20,180
0x000D7108,5,17,3,0,31,236,942,947,0,0,0,40961,41140,1267,10,1,6,0,195
0x000D7166,5,18,3,0,33,237,943,0,0,0,0,40961,41153,1244,9,1,1,20,220
0x000D71C4,3,19,4,0,34,238,0,0,0,0,0,40961,41098,1229,10,1,2,771,107
0x000D7222,4,20,4,20,35,239,941,0,0,0,0,40961,41117,1208,10,0,1,20,170
