key,value
TJ AREA-1,0
TJ AREA-2,1
TJ AREA-3,2
TJ AREA-4,3
TJ AREA-5,4
L AREA-1,5
L AREA-2,6
L AREA-3,7
L AREA-4,8
L AREA-5,9
GS AREA-1,10
GS AREA-2,11
GS AREA-3,12
GS AREA-4,13
FT AREA-1,14
FT AREA-2,15
FT AREA-3,16
FT AREA-4,17
FT AREA-5,18
TT AREA-1,19
TT AREA-2,20
TT AREA-3,21
TT AREA-4,22
TT AREA-5,23
IM AREA-1,24
IM AREA-2,25
IM AREA-3,26
IM AREA-4,27
IM AREA-5,28
FL AREA-1,29
FL AREA-2,30
FL AREA-3,31
FL AREA-4,32
FL AREA-5,33
AD AREA-1,34
AD AREA-2,35
AD AREA-3,36
AD AREA-4,37
AD AREA-5,38
OC AREA-1,39
OC AREA-2,40
OC AREA-3,41
OC AREA-4,42
TB AREA-1,43
TB AREA-2,44
TB AREA-3,45
TB AREA-4,46
TB AREA-5,47
TB AREA-6,48
IM2 AREA-1,49
IM2 AREA-2,50
IM2 AREA-3,51
IM2 AREA-4,52
OS AREA-1,53
OS AREA-2,54
OS AREA-3,55
OS AREA-4,56
OS AREA-5,57
OS AREA-6,58
KV AREA-1,59
KV AREA-2,60
KV AREA-3,61
KV AREA-4,62
KV AREA-5,63
C AREA-1,64
C AREA-2,65
C AREA-3,66
C AREA-4,67
D AREA-1,68
D AREA-2,69
D AREA-3,70
D AREA-4,71
PF AREA-1,72
PF AREA-2,73
PF AREA-3,74
PF AREA-4,75
RP AREA-1,76
RP AREA-2,77
RP AREA-3,78
RP AREA-4,79
RP AREA-5,80
AP AREA-1,81
AP AREA-2,82
AP AREA-3,83
AP AREA-4,84
R AREA-1,85
R AREA-2,86
R AREA-3,87
R AREA-4,88
R AREA-5,89
DS AREA-1,90
DS AREA-2,91
DS AREA-3,92
DS AREA-4,93
TG AREA-1,94
TG AREA-2,95
TG AREA-3,96
TG AREA-4,97
TG AREA-5,98
TG AREA-6,99
VC AREA-1,100
VC AREA-2,101
VC AREA-3,102
VC AREA-4,103
VC AREA-5,104
VC AREA-6,105
HI AREA-1,106
HI AREA-2,107
HI AREA-3,108
HI AREA-4,109
HI AREA-5,110
HA AREA-1,111
HA AREA-2,112
HA AREA-3,113
HA AREA-4,114
PI AREA-1,115
PI AREA-2,116
PI AREA-3,117
PI AREA-4,118
TO AREA-1,119
TO AREA-2,120
TO AREA-3,121
TO AREA-4,122
SH AREA-1,123
SH AREA-2,124
SH AREA-3,125
SH AREA-4,126
SH AREA-5,127
SH AREA-6,128
EC AREA-1,129
EC AREA-2,130
EC AREA-3,131
EC AREA-4,132
EC AREA-5,133
EC AREA-6,134
EC AREA-7,135
EC AREA-8,136
EC AREA-9,137
JU AREA-1,138
JU AREA-2,139
JU AREA-3,140
JU AREA-4,141
JU AREA-5,142
C2 AREA-1,143
C2 AREA-2,144
C2 AREA-3,145
C2 AREA-4,146
C2 AREA-5,147
DS2 AREA-1,148
DS2 AREA-2,149
DS2 AREA-3,150
DS2 AREA-4,151
DS2 AREA-5,152
DF2 AREA-1,153
DF2 AREA-2,154
DF2 AREA-3,155
DF2 AREA-4,156
DF2 AREA-5,157
DF2 AREA-6,158
DF2 AREA-7,159
DF2 AREA-8,160
DF2 AREA-9,161
DF2 AREA-10,162
DF2 AREA-11,163
DF2 AREA-12,164
DF2 AREA-13,165
DC AREA-1,166
DC AREA-2,167
DC AREA-3,168
DC AREA-4,169
DC AREA-5,170
DC AREA-6,171
DC AREA-7,172
DC AREA-8,173
W AREA-1,174
W AREA-2,175
W AREA-3,176
W AREA-4,177
W AREA-5,178
W AREA-6,179
SU AREA-1,180
NW AREA-1,181
NW AREA-2,182
NW AREA-3,183
