key,value
-,0
agumon.wav,40994
agumon_baby_flame.wav,40981
agumon_dialogue1.wav,41196
agumon_dialogue3.wav,41178
agumon_dialogue4.wav,41183
agumon_dialogue6.wav,40995
agumon_shinka.wav,40987
agumon_warp_shinka.wav,40991
angemon.wav,41094
angemon_chou_shinka.wav,41095
angemon_dialogue1.wav,41088
angemon_heavens_knucle.wav,41090
angewomon.wav,41150
angewomon_heavns_charm.wav,41148
angewomon_holy_arrow.wav,41147
angewomon_saint_air.wav,41146
atlurkabuterimon.wav,41165
atlurkabuterimon_horn_buster.wav,41160
birdramon.wav,41111
birdramon_chou_shinka.wav,41112
birdramon_meteor_wing.wav,41108
bye_bye.wav,40997
gabumon.wav,41014
gabumon_dialogue1.wav,41015
gabumon_dialogue2.wav,41198
gabumon_dialogue3.wav,41176
gabumon_dialogue4.wav,41001
gabumon_dialogue5.wav,41002
gabumon_dialogue6.wav,41016
gabumon_intro.wav,41000
gabumon_petit_fire.wav,41003
gabumon_shinka.wav,41007
gabumon_warp_shinka.wav,41011
garudamon.wav,41113
garudamon_shadow_wing.wav,41109
garurumon.wav,41008
garurumon_chou_shinka.wav,41009
garurumon_fox_fire.wav,41004
gomamon.wav,41029
gomamon_dialogue1.wav,41018
gomamon_dialogue2.wav,41189
gomamon_dialogue3.wav,41197
gomamon_dialogue4.wav,41030
gomamon_dialogue5.wav,41031
gomamon_dialogue6.wav,41181
gomamon_dialogue7.wav,41019
gomamon_dialogue8.wav,41032
gomamon_dialogue9.wav,41033
gomamon_intro.wav,41017
gomamon_marching_fishes.wav,41020
gomamon_shinka.wav,41024
greymon.wav,40988
greymon_chou_shinka.wav,40989
greymon_mega_flame.wav,40982
hikari_dialogue1.wav,41035
hikari_dialogue2.wav,41036
hikari_dialogue3.wav,41037
hikari_dialogue4.wav,41038
hikari_dialogue5.wav,41039
hikari_dialogue6.wav,41040
hikari_intro.wav,41034
holyangemon.wav,41096
holyangemon_heavens_gate.wav,41092
holyangemon_holy_disinfection.wav,41091
ikkakumon.wav,41025
ikkakumon_chou_shinka.wav,41026
ikkakumon_harpoon_vulcan.wav,41021
joe_dialogue1.wav,41044
joe_dialogue2.wav,41043
joe_dialogue3.wav,41042
joe_dialogue4.wav,41045
joe_dialogue5.wav,41046
joe_dialogue6.wav,41047
joe_intro.wav,41041
kabuterimon.wav,41162
kabuterimon_chou_shinka.wav,41163
kabuterimon_mega_blaster.wav,41159
koromon_shinka.wav,40993
koshiro_dialogue1.wav,41052
koshiro_dialogue2.wav,41051
koshiro_dialogue3.wav,41050
koshiro_dialogue4.wav,41053
koshiro_dialogue5.wav,41054
