key,value
-,0
agumon_to_greymon,518
agumon_warp_to_wargreymon,534
angemon_to_holyangemon,531
birdramon_to_garudamon,527
gabumon_to_garurumon,519
gabumon_warp_to_metalgarurumon,535
garurumon_to_weregarurumon,526
gomamon_to_ikkakumon,523
greymon_to_metalgreymon,525
greymon_to_skullgreymon,533
ikkakumon_to_zudomon,530
kabuterimon_to_atlurkabuterimon,528
koromon_to_agumon,511
mochimon_to_tentomon,514
palmon_to_togemon,522
patamon_to_angemon,524
piyomon_to_birdramon,520
pukamon_to_gomamon,516
pyocomon_to_piyomon,513
tailmon_to_angewomon,532
tanemon_to_palmon,515
tentomon_to_kabuterimon,521
togemon_to_lilimon,529
tokomon_to_patamon,517
tsunomon_to_gabumon,512
wargreymon_metalgarurumon_omegamon,536
