cluster,offset_hex,evo_id,scene,expected_color_id_guess,near_small_values,bytes_before,bytes_after
cluster_A_many_evo_ids_probably_menu_or_logic,0x094599,512,tsunomon_to_gabumon,2,+11:3,00 1B 00 1C 00 1D 00 33,00 34 00 1E 00 35 00 1F 00 03 00 36 00 20 00 21
cluster_A_many_evo_ids_probably_menu_or_logic,0x09460B,512,tsunomon_to_gabumon,2,-7:9 +17:1 +19:1 +21:3 +23:1,00 09 00 48 00 51 00 00,00 00 00 12 A0 11 00 A8 A0 EC A0 DF A0 DA A0 01
cluster_A_many_evo_ids_probably_menu_or_logic,0x094631,512,tsunomon_to_gabumon,2,-1:2 +3:4 +5:2 +19:3 +21:3 +23:5,A0 EE A0 D8 A0 E7 A0 02,00 04 00 02 00 90 A0 13 00 A0 A0 EB A0 E2 A0 E0
cluster_A_many_evo_ids_probably_menu_or_logic,0x094635,512,tsunomon_to_gabumon,2,-5:2 -3:2 -1:4 +15:3 +17:3 +19:5 +21:3,A0 E7 A0 02 00 02 00 04,00 90 A0 13 00 A0 A0 EB A0 E2 A0 E0 A0 03 00 03
cluster_A_many_evo_ids_probably_menu_or_logic,0x0946CF,512,tsunomon_to_gabumon,2,,00 00 00 00 00 00 00 00,00 00 00 00 00 00 00 00 00 0A 00 5F 00 00 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0946F5,512,tsunomon_to_gabumon,2,-9:1 -7:1 +4:1 +10:4 +11:8 +13:1 +17:2 +19:2 +23:5,00 01 00 00 00 00 00 00,00 FF 01 00 00 15 A0 B2 04 08 00 01 00 00 00 02
cluster_A_many_evo_ids_probably_menu_or_logic,0x0946F8,511,koromon_to_agumon,1,-12:1 -10:1 -2:2 +7:4 +8:8 +10:1 +14:2 +16:2 +20:5,00 00 00 00 00 00 02 00,00 00 15 A0 B2 04 08 00 01 00 00 00 02 00 02 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094705,512,tsunomon_to_gabumon,2,-12:1 -6:4 -5:8 -3:1 +3:2 +7:5 +13:6 +14:2 +20:4 +21:8 +23:1,A0 B2 04 08 00 01 00 00,00 02 00 00 00 05 00 1E 00 22 00 06 02 00 00 16
cluster_A_many_evo_ids_probably_menu_or_logic,0x094707,512,tsunomon_to_gabumon,2,-8:4 -7:8 -5:1 -1:2 +5:5 +11:6 +12:2 +18:4 +19:8 +21:1 +23:3,04 08 00 01 00 00 00 02,00 00 00 05 00 1E 00 22 00 06 02 00 00 16 A0 B2
cluster_A_many_evo_ids_probably_menu_or_logic,0x094712,518,agumon_to_greymon,1,-12:2 -10:2 -6:5 +7:4 +8:8 +10:1 +12:3 +14:3 +16:3,00 00 05 00 1E 00 22 00,00 00 16 A0 B2 04 08 00 01 00 03 00 03 00 03 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09472C,518,agumon_to_greymon,1,-12:3 -10:3 +3:2 +7:4 +10:1 +12:3 +14:3 +16:4,00 00 0F 00 25 00 60 00,0D 02 17 A0 C9 04 0B 00 01 00 03 00 03 00 04 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09472E,525,greymon_to_metalgreymon,1,-12:3 -2:6 -1:2 +5:4 +8:1 +10:3 +12:3 +14:4,0F 00 25 00 60 00 06 02,17 A0 C9 04 0B 00 01 00 03 00 03 00 04 00 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094746,518,agumon_to_greymon,1,-12:3 -10:4 +3:2 +7:4 +10:1 +12:1 +14:4 +16:5,00 00 19 00 27 00 61 00,15 02 1F 00 C9 04 0B 00 01 00 01 00 04 00 05 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094748,533,greymon_to_skullgreymon,1,-12:4 -2:6 -1:2 +5:4 +8:1 +10:1 +12:4 +14:5,19 00 27 00 61 00 06 02,1F 00 C9 04 0B 00 01 00 01 00 04 00 05 00 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x094760,534,agumon_warp_to_wargreymon,1,-12:4 -10:5 +7:4 +8:9 +10:1 +12:1 +14:5 +16:6,00 00 2D 00 2E 00 62 00,00 00 19 A0 BE 04 09 00 01 00 01 00 05 00 06 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09477A,536,wargreymon_metalgarurumon_omegamon,99,-12:5 -10:6 +7:4 +8:9 +12:1 +16:7 +18:1,00 00 FF FF 30 00 63 00,00 00 0F 00 DD 04 09 00 0A 00 01 00 00 00 07 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x09479D,512,tsunomon_to_gabumon,2,+5:1 +7:8 +9:1 +13:1 +15:3 +18:2,00 00 00 00 00 00 00 00,00 00 00 01 00 08 00 01 00 00 00 01 00 03 00 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947AE,512,tsunomon_to_gabumon,2,-12:1 -10:8 -8:1 -4:1 -2:3 +7:4 +8:8 +10:2 +14:2 +16:9 +18:1 +20:5,01 00 00 00 01 00 03 00,00 00 2B A0 B3 04 08 00 02 00 00 00 02 00 09 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947B7,512,tsunomon_to_gabumon,2,-11:3 -8:2 -2:4 -1:8 +5:2 +7:9 +9:1 +11:5 +17:7 +18:2,02 00 00 2B A0 B3 04 08,00 00 00 02 00 09 00 01 00 05 00 1F 00 67 00 07
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947BB,512,tsunomon_to_gabumon,2,-12:2 -6:4 -5:8 -3:2 +3:9 +5:1 +7:5 +13:7 +14:2 +20:4 +21:8 +23:2,A0 B3 04 08 00 02 00 00,00 09 00 01 00 05 00 1F 00 67 00 07 02 00 00 2C
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947C8,519,gabumon_to_garurumon,2,-12:2 -10:9 -8:1 -6:5 +7:4 +8:8 +10:2 +12:3 +14:3 +18:1,01 00 05 00 1F 00 67 00,00 00 2C A0 B3 04 08 00 02 00 03 00 03 00 0A 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947D1,512,tsunomon_to_gabumon,2,-9:7 -8:2 -2:4 -1:8 +3:3 +5:3 +9:1 +17:7 +18:2 +20:2,02 00 00 2C A0 B3 04 08,00 03 00 03 00 0A 00 01 00 0F 00 26 00 68 00 07
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947E2,519,gabumon_to_garurumon,2,-12:3 -8:1 +3:2 +7:4 +10:2 +12:1 +14:4 +18:1,01 00 0F 00 26 00 68 00,0E 02 2D A0 D1 04 0A 00 02 00 01 00 04 00 0B 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947E4,526,garurumon_to_weregarurumon,2,-10:1 -2:7 -1:2 +5:4 +8:2 +10:1 +12:4 +16:1,0F 00 26 00 68 00 07 02,2D A0 D1 04 0A 00 02 00 01 00 04 00 0B 00 01 00
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947EB,512,tsunomon_to_gabumon,2,-9:7 -8:2 -6:2 -2:4 +3:1 +5:4 +9:1 +18:2,02 0E 02 2D A0 D1 04 0A,00 01 00 04 00 0B 00 01 00 23 00 2F 00 69 00 17
cluster_A_many_evo_ids_probably_menu_or_logic,0x0947FC,535,gabumon_warp_to_metalgarurumon,2,-12:4 -8:1 +7:4 +8:8 +10:2 +12:1 +14:5 +18:1,01 00 23 00 2F 00 69 00,00 00 2E A0 B3 04 08 00 02 00 01 00 05 00 0C 00
