string_index,name
0,TEXTRESOURCE
1,????????
2,AGUMON
3,GABUMON
4,PIYOMON
5,TENTOMON
6,PALMON
7,GOMAMON
8,PATAMON
9,TAILMON
10,WIZARMON
11,V-DRAMON
12,KUWAGAMON
13,SHELLMON
14,MONOCHROMON
15,SEADRAMON
16,MERAMON
17,NUMEMON
18,ANDROMON
19,MONZAEMON
20,YUNIMON
21,LEOMON
22,ORGEMON
23,DEVIMON
24,YUKIDARUMON
25,MOJYAMON
26,SCUMON
27,CENTALMON
28,BAKEMON
29,ELECMON
30,WHAMON
31,DRIMOGEMON
32,GAZIMON
33,ETEMON
34,GREYMON
35,COCKATRIMON
36,TYRANOMON
37,NANOMON
38,PICODEVIMON
39,DIGITAMAMON
40,VEGIMON
41,VADEMON
42,GEKOMON
43,OTAMAMON
44,TONOSAMAGEKOMON
45,FLYMON
46,NANIMON
47,DEVIDRAMON
48,DOKUGUMON
49,VAMDEMON
50,PARROTMON
51,MAMMON
52,GESOMON
53,RAREMON
54,DEATHMERAMON
55,PUMPMON
56,GOTTSUMON
57,GIZAMON
58,DARKTYRANOMON
59,TUSKMON
60,SNIMON
61,FANTOMON
62,MEGASEADRAMON
63,VENOMVAMDEMON
64,METALSEADRAMON
65,MUGENDRAMON
66,PICKLEMON
67,PIEMON
68,ANOMALOCARIMON
69,HANGYOMON
70,KIWIMON
71,JYUREIMON
72,GERBEMON
73,WOODMON
74,METALETEMON
75,FLORAMON
76,DELUMON
77,SABERLEOMON
78,REDVAGIMON
79,MUSHMON
80,BLOSSOMON
81,PINOCHIMON
82,MECHANORIMON
83,TANKMON
84,HAGURUMON
85,MEGADRAMON
86,GIGADRAMON
87,WARUMONZAEMON
88,EVILMON
89,LADYDEVIMON
90,APOCLYMON
91,KERAMON
92,INFERMON
93,DIABLOMON
94,????????
95,KOROMON
96,METALGREYMON
97,SKULLGREYMON
98,WARGREYMON
99,OMEGAMON
100,OMEGAMON
101,OMEGAMON
102,TUNOMON
103,GARURUMON
104,WEREGARURUMON
105,METALGARURUMON
106,PYOCOMON
107,BIRDRAMON
108,GARUDAMON
109,MOCHIMON
110,KABUTERIMON
111,ATLURKABUTERIMON
112,TANEMON
113,TOGEMON
114,LILIMON
115,PUKAMON
116,IKKAKUMON
117,ZUDOMON
118,TOKOMON
119,ANGEMON
120,HOLYANGEMON
121,ANGEWOMON
122,DIGIMON
123,MAP
124,RECOVER
125,LINK
126,PLAYMODE
127,SETTING
128,POWER_OFF
129,PARTNER
130,FRIEND
131,CHANGE
132,D<0052>I<0052>G<0052>I<0053>VOLUT<0052>I<0052>ON
133,BOND
134,vs_DIGIVICE
135,vs_OTHERS
136,DIGIVOLUTION_VIEWER
137,SOUND
138,ENDING
139,FILE_ISLAND
140,FILE_ISLAND
141,SERVER_CONTINENT
142,TOKYO
143,SPIRAL_MOUNTAIN
144,SUBSPACE
145,NETWORK
146,TROPICAL_JUNGLE
147,LAKE
148,GEAR_SAVANNAH
149,FACTORIAL_TOWN
150,TOY-TOWN
151,INFINITY_MOUNTAIN
152,FRIEZE_LAND
153,ANCIENT_DINO_REGION
154,OVERDELL_CEMETERY
155,THE_TOWN_OF_BEGINNINGS
156,INFINITY_MOUNTAIN
157,OPEN_SEA
158,KOROMON$S_VILLEGE
159,COLOSSEUM
160,DESERT
161,PICKLEMON$S_FOREST
162,REVERSE_PYRAMID
163,AMUSEMENT_PARK
164,RESTAURANT
165,DIFFERENT_SPACE
166,TONOSAMAGEKOMON$S_CASTLE
167,VAMDEMON$S_CASTLE
168,HIKARIGAOKA
169,HARUMI
170,PIER
171,TOWER
172,SHIBUYA
173,EXHIBITION_CENTER
174,JUNGLE
175,COLOSSEUM
176,DIGITAL_SEA
177,DIGITAL_FOREST
178,DIGITAL_CITY
179,WASTELAND
180,SUBSPACE
181,NETWORK
182,BATTLE
183,BOSS
184,EVENT
185,SECRET
186,SOUND_VOLUME
187,DISPLAY_BRIGHTNESS
188,LED
189,VIBRATION
190,CLOCK_SETTINGS
191,STEP_SPEED
192,CLEAR_ALL
193,SOUNDVOLUME
194,DISPLAYBRIGHTNESS
195,STEP_SPEED*5
196,0
197,1
198,2
199,3
200,4
201,ON
202,OFF
203,YES
204,NO
205,REALLY?
206,SAVE_AND_POWER_OFF
207,BATTLE
208,ITEM
209,SECRET_AREA_OPEN
210,NEW
211,FRIEND
212,PARTNER
213,CLEAR!
214,CAUTION
215,BATTLE
216,OK
217,RETRY
218,CHARG<0053>I<0053>NG_I<0053>NCOMPLETE<0048>
219,PLEASEREMOVEUSB_CABLE<0048>
220,########
221,Butter-Fly
222,brave_heart
223,Butter-Fly(movie#size)
224,SHUGEKI!_SOSHITE<0050><0050><0050>
