key,value
Tropical Jungle,0
Lake,1
Gear Savannah,2
Factorial Town,3
Toy-Town,4
Infinity Mountain,5
Freeze Land,6
Ancient Dino Region,7
Overdell Cemetary,8
The Town of Beginnings,9
Infinity Mountain2,10
Open Sea,11
Koromon's Village,12
Colosseum,13
Desert,14
Piccolomon's Forest,15
Reverse Pyramid,16
Amusement Park,17
Restaurant,18
Different Space,19
Tonosama Gekomon's Castle,20
Vamdemon's Castle,21
Hikarigoaka,22
Harumi,23
Pier,24
Tower,25
Shibuya,26
Exhibition Center,27
Jungle,28
Colosseum2,29
Digital Sea,30
Digital Forest,31
Digital City,32
Wasteland,33
Subspace,34
Network,35
